c1,c1lat,c1long,c2,c2lat,c2long,route,count,,Unique,ulat,ulong,suma,sumb,sum
Luanda,-8.838286114,13.23442704,Addis Ababa,9.033310363,38.70000443,Luanda to Addis Ababa,2,,Cairo,30.04996035,31.24996822,1,4,5
Abuja,9.083333149,7.533328002,Doha,25.28655601,51.53296789,Abuja to Doha,2,,Lubumbashi,-11.6800248,27.48001745,3,2,5
Bujumbura,-3.37608722,29.36000606,Nairobi,-1.283346742,36.81665686,Bujumbura to Nairobi,2,,Yaounde,3.866700662,11.51665076,3,2,5
Paris,48.86669293,2.333335326,Ho Chi Minh City,10.78002545,106.6950272,Paris to Ho Chi Minh City,2,,Abu Dhabi,24.46668357,54.36659338,2,2,4
Entebbe,0.060395527,32.46002356,Singapore,1.293033466,103.8558207,Entebbe to Singapore,2,,Cape Town,-33.92001097,18.43498816,2,2,4
Harare,-17.81778969,31.04470943,Amsterdam,52.34996869,4.916640176,Harare to Amsterdam,2,,Vientiane,17.96669273,102.59998,0,4,4
Kinshasa,-4.329724102,15.31497188,Paris,48.86669293,2.333335326,Kinshasa to Paris,2,,Kampala,0.316658955,32.58332353,3,0,3
Luanda,-8.838286114,13.23442704,Kuala Lumpur,3.166665872,101.6999833,Luanda to Kuala Lumpur,2,,Juba,4.829975198,31.58002559,2,1,3
Cape Town,-33.92001097,18.43498816,Hong Kong,22.3049809,114.1850093,Cape Town to Hong Kong,2,,Brussels,50.83331708,4.333316608,2,1,3
Doha,25.28655601,51.53296789,Ho Chi Minh City,10.78002545,106.6950272,Doha to Ho Chi Minh City,2,,Shanghai,31.21645245,121.4365047,0,3,3
Dubai,25.22999615,55.27997432,Bangkok,13.74999921,100.5166447,Dubai to Bangkok,2,,Phnom Penh,11.55003013,104.9166345,0,3,3
Johannesburg,-26.17004474,28.03000972,Bangkok,13.74999921,100.5166447,Johannesburg to Bangkok,2,,Conakry,9.531522846,-13.68023503,2,0,2
Bangkok,13.74999921,100.5166447,Phnom Penh,11.55003013,104.9166345,Bangkok to Phnom Penh,2,,"Washington, D.C.",38.89954938,-77.00941858,1,1,2
Amsterdam,52.34996869,4.916640176,Hong Kong,22.3049809,114.1850093,Amsterdam to Hong Kong,2,,Brazzaville,-4.259185772,15.28468949,2,0,2
Pretoria,-25.70692055,28.22942908,Hong Kong,22.3049809,114.1850093,Pretoria to Hong Kong,2,,Nagoya,35.15499758,136.9149914,2,0,2
Kuala Lumpur,3.166665872,101.6999833,Hanoi,21.03332725,105.8500142,Kuala Lumpur to Hanoi,2,,Yamoussoukro,6.81838096,-5.275502565,2,0,2
Addis Ababa,9.033310363,38.70000443,Hong Kong,22.3049809,114.1850093,Addis Ababa to Hong Kong,2,,Jakarta,-6.174417705,106.8294376,1,1,2
Istanbul,41.10499615,29.01000159,Kuala Lumpur,3.166665872,101.6999833,Istanbul to Kuala Lumpur,2,,Abidjan,5.319996967,-4.04004826,2,0,2
Doha,25.28655601,51.53296789,Bangkok,13.74999921,100.5166447,Doha to Bangkok,2,,Porto-Novo,6.483310973,2.616625528,1,1,2
